date,tavg,tsun,rain_days,day_without_rain,snow_days,days_without_snow,city,lat,lon
2018-02-01,0.3,282.25,1,27,1,27,frankfurt am main,50.116667,8.683333
2018-03-01,5.251612903225807,196.80645161290323,6,25,3,28,frankfurt am main,50.116667,8.683333
2018-04-01,15.133333333333333,475.46666666666664,2,28,0,30,frankfurt am main,50.116667,8.683333
2018-05-01,18.229032258064517,538.741935483871,4,27,0,31,frankfurt am main,50.116667,8.683333
2018-06-01,20.396666666666665,511.03333333333336,4,26,0,30,frankfurt am main,50.116667,8.683333
2018-07-01,23.58709677419355,612.9354838709677,2,29,0,31,frankfurt am main,50.116667,8.683333
2018-08-01,22.616129032258065,533.5806451612904,2,29,0,31,frankfurt am main,50.116667,8.683333
2018-09-01,17.336666666666666,434.5,3,27,0,30,frankfurt am main,50.116667,8.683333
2018-10-01,12.735483870967743,341.0,1,30,0,31,frankfurt am main,50.116667,8.683333
2018-11-01,7.253333333333333,173.6,4,26,0,30,frankfurt am main,50.116667,8.683333
2018-12-01,5.245161290322581,37.58064516129032,9,22,0,31,frankfurt am main,50.116667,8.683333
2019-01-01,2.570967741935484,74.35483870967742,6,25,5,26,frankfurt am main,50.116667,8.683333
2019-02-01,5.95,304.14285714285717,2,26,1,27,frankfurt am main,50.116667,8.683333
2019-03-01,8.841935483870968,268.80645161290323,7,24,0,31,frankfurt am main,50.116667,8.683333
2019-04-01,11.976666666666667,435.26666666666665,4,26,0,30,frankfurt am main,50.116667,8.683333
2019-05-01,13.24516129032258,394.19354838709677,9,22,0,31,frankfurt am main,50.116667,8.683333
2019-06-01,21.743333333333332,630.7666666666667,5,25,0,30,frankfurt am main,50.116667,8.683333
2019-07-01,21.780645161290323,510.1290322580645,4,27,0,31,frankfurt am main,50.116667,8.683333
2019-08-01,21.509677419354837,462.35483870967744,5,26,0,31,frankfurt am main,50.116667,8.683333
2019-09-01,16.056666666666665,343.8333333333333,9,21,0,30,frankfurt am main,50.116667,8.683333
2019-10-01,12.370967741935484,165.58064516129033,9,22,0,31,frankfurt am main,50.116667,8.683333
2019-11-01,6.586666666666667,63.53333333333333,7,23,0,30,frankfurt am main,50.116667,8.683333
2019-12-01,5.029032258064516,105.3225806451613,10,21,0,31,frankfurt am main,50.116667,8.683333
2020-01-01,4.829032258064516,104.38709677419355,5,26,0,31,frankfurt am main,50.116667,8.683333
2020-02-01,6.986206896551724,143.10344827586206,11,18,1,28,frankfurt am main,50.116667,8.683333
