,name,address,postcode,latitude,longitude
0,LKWash Ernst Pfaff,"Liebigstraße 32, 22113 Hamburg",22113,53.53397,10.08471
1,Aral,"Königstraße 9, 22767 Hamburg",22767,53.54928,9.95279
2,Hamburg Kollaustr,"Kollaustraße 39, 22529 Hamburg",22529,53.60277,9.96157
3,Aral,"Schimmelmannstraße 97, 22043 Hamburg",22043,53.57267,10.10546
4,Hamburg Max-Brauer-Alle.,"Max-Brauer-Allee 216, 22769 Hamburg",22769,53.56201,9.9571
5,Steamwash Ökologische Fahrzeugreinigung,"Anckelmannstraße 13, 20537 Hamburg",20537,53.55256,10.02905
6,Hamburg Bundesstr,"Bundesstraße 66, 20144 Hamburg",20144,53.56995,9.9737
7,Fresh Car Kohrs,"Usedomstraße 14, 22047 Hamburg",22047,53.5879,10.10198
8,Shell,"Heidenkampsweg 54, 20097 Hamburg",20097,53.54864,10.02734
9,Clean & Green LKW-Waschanlage,"Lagerstrasse 26, 20357 Hamburg",20357,53.56275,9.96904
10,Lkw-Waschanlage Pfaff,"Liebigstraße 32, 22113 Hamburg",22113,53.53432,10.08464
11,Hamburg Amsinckstr,"Amsinckstraße 60, 20097 Hamburg",20097,53.54338,10.0214
12,Hamburg Koenigstrasse.,"Königstraße 22, 22767 Hamburg",22767,53.54865,9.94412
13,Aral,"Winterhuder Weg 25, 22085 Hamburg",22085,53.57383,10.02205
14,OMED GERMANY,"Moorfleeter Straße 43, 22113 Hamburg",22113,53.52517,10.09215
15,Joachim Hinze,"Im Gehölz 9, 20255 Hamburg",20255,53.57713,9.96177
16,Aral,"Nordschleswiger Straße 91, 22049 Hamburg",22049,53.5798,10.07
17,Awa Autowasch Best Carwash,"Spaldingstraße 105, 20097 Hamburg",20097,53.55022,10.01877
18,AutoChic,"Sievekingsallee 13, 20535 Hamburg",20535,53.56085,10.04134
19,Shell,"Georgswerder Bogen 12, 21109 Hamburg",21109,53.51833,10.02241
20,Aral,"Eiffestraße 506, 20537 Hamburg",20537,53.55135,10.05189
21,Hamburg Georgswerder Bogen,"Georgswerder Bogen 12, 21109 Hamburg",21109,53.51899,10.02224
22,Hamburg Eiffestr,"Eiffestraße 626, 20537 Hamburg",20537,53.55059,10.05973
23,Hamburg Friedrich-Ebert-Damm 171,"Friedrich-Ebert-Damm 171, 22047 Hamburg",22047,53.58943,10.09988
24,Car-Tex Autopflege,"Süderstraße 167, 20537 Hamburg",20537,53.5479,10.0393
25,Clean Car Autowaschanlagen,"Königstraße 24, 22767 Hamburg",22767,53.5484,9.94415
26,Aral,"Amsinckstraße 48, 20097 Hamburg",20097,53.54614,10.0149
27,Kpr Gebäudedienste,"Katharinenstraße 30A, 20457 Hamburg",20457,53.54541,9.99247
28,"Sb-Autowaschanlagen, Arff Renate U. Heino","Alter Teichweg 69, 22049 Hamburg",22049,53.58424,10.0589
29,Hamburg Schiffbeker Weg 90.,"Schiffbeker Weg 90/92, 22119 Hamburg",22119,53.5485,10.10848
30,Heger Autopflege,"Timmendorfer Stieg 34B, 22147 Hamburg",22147,53.60384,10.13482
31,Hamburg Hegestrasse,"Hegestraße 26, 20251 Hamburg",20251,53.58286,9.9816
32,Culap Autoglanz,"Nedderfeld 55, 22529 Hamburg",22529,53.60192,9.97263
33,Shell Station,"Hammer Deich, 20537 Hamburg",20537,53.54653,10.03994
34,Hanse Cleaner,"Osterbekstraße 90B, 22083 Hamburg",22083,53.58289,10.02841
35,Hamburg Carl-Petersen-Str. 76,"Carl-Petersen-Straße 76, 20535 Hamburg",20535,53.55746,10.04721
36,Shell Station,"Georgswerder Bogen 12, 21109 Hamburg",21109,53.51855,10.02329
37,Aral,"Dehnhaide 49, 22081 Hamburg",22081,53.57925,10.04494
38,Hamburg Ahrensburger Str,"Ahrensburger Straße 35, 22041 Hamburg",22041,53.57818,10.09333
39,ARAL Station,20539 Hamburg,20539,53.53655,10.0641
40,Aral,"Sievekingsallee 30, 20535 Hamburg",20535,53.56094,10.04791
41,Aral,"Habichtstraße 72-78, 22305 Hamburg",22305,53.59236,10.05473
42,Aral,"Habichtstraße 39, 22305 Hamburg",22305,53.59069,10.05657
43,Hamburg Luebecker Str,"Lübecker Straße 86, 22087 Hamburg",22087,53.5611,10.03167
44,Imo Autowaschanlage,"Haldesdorfer Straße 102, 22179 Hamburg",22179,53.60005,10.07893
45,Euro Shell Autohof,"Hammer Deich 3, 20537 Hamburg",20537,53.5466,10.04088
46,Fahrzeugrein Dabelstein,"Stegerwaldring 15, 22119 Hamburg",22119,53.55064,10.09966
47,Hamburg Juethornstr,"Jüthornstraße 49, 22043 Hamburg",22043,53.56679,10.07529
48,Aral,"Bundesstraße 38, 20146 Hamburg",20146,53.56587,9.97974
49,Tcc Trucks & Cars Cleaning Ali,"Andreas-Meyer-Straße 31-35, 22113 Hamburg",22113,53.51938,10.07712
50,Car Gloss Autopflege,"Wandalenweg 30, 20097 Hamburg",20097,53.55027,10.02527
51,HTR GmbH,"Berzeliusstraße 59, 22113 Hamburg",22113,53.534,10.09884
52,Mr. Your Cars,"Walddörferstraße 334, 22047 Hamburg",22047,53.58383,10.09885
53,Cotac Complete Tank Care,"Wendenstraße 414-424, 20537 Hamburg",20537,53.54943,10.04924
54,Shell,"Winterhuder Weg 72, 22085 Hamburg",22085,53.57411,10.02324
55,Aral,"Osterfeldstraße 30, 22529 Hamburg",22529,53.59851,9.97376
56,Reinigungsservice Durani,"Heckenpfad 2A, 22111 Hamburg",22111,53.54428,10.0827
57,Hamburg Doormannsweg.,"Doormannsweg 45, 20259 Hamburg",20259,53.56758,9.953
58,Aw-Consulting,"Sievekingdamm 72, 20535 Hamburg",20535,53.56005,10.05172
59,CleanCar,"Wandsbeker Zollstraße 117, 22041 Hamburg",22041,53.57716,10.08323
60,Hamburg Fruchtallee,"Fruchtallee 95, 20259 Hamburg",20259,53.57058,9.95411
